1971;IV/5 400 - Burroughs-Delplanque;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0025&from=EN;
1971;IV/5 405 - Burroughs/Geha-Werke;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0026&from=EN;
1971;IV/26 418 - Sopelem/Langen;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0024&from=EN;
1971;IV/23 514 - SAFCO;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0023&from=EN;
1971;IV/324 - Vereeniging van Cementhandelaren;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0022&from=EN;
1971;IV/26 811 - Continental Can Company;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0021&from=EN;
1971;IV/26.945 - Boehringer;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0400&from=EN;
1971;IV/26909-S.I.A.E.;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0375&from=EN;
1971;IV/181 - CEMATEX;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0337&from=EN;
1971;affaire IV/AF 239;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0268&from=EN;
1971;Le texte en langue française est le seul faisant foi;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0257&from=EN;
1971;Le texte en langue néerlandaise est le seul faisant foi;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0259&from=EN;
1971;Le texte en langue française est le seul faisant foi;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0258&from=EN;
1971;IV/26 760 - GEMA;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0224&from=EN;
1971;IV/26 624 - FN-CF;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0222&from=EN;
1971;affaire IV/26792 - C.I.C.G. - ZVEI/ZPÜ;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31971D0085&from=EN;
1972;IV/243, 244, 245 - Cimbel;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0474&from=EN;
1972;IV/89-26349 - «Décisions de l'association GISA»;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0478&from=EN;
1972;IV/26.992 - WEA-Filipacchi Music SA;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0480&from=EN;
1972;IV/581 - Cementregeling voor Nederland - 1971;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0468&from=EN;
1972;IV/26.911 - ZOJA/CSC - ICI;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0457&from=EN;
1972;IV/26894 - Pittsburgh Corning Europe - Formica Belgium - Hertel, IV/26876 et 26892;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0403&from=EN;
1972;IV/496-498-532-511-26238-26577 - «Chauffage central»;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0390&from=EN;
1972;IV/24 171 - Misal;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0397&from=EN;
1972;IV/8 818 et 8 822 - Rodenstock;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0396&from=EN;
1972;IV/642 - Papier mince;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0291&from=EN;
1972;IV/26.760 - GEMA;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0268&from=EN;
1972;IV/17.545, 6.964, 26.858, 26.890, 18.673, 17.448 - Davidson Rubber Co.;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0237&from=EN;
1972;IV/26.813 - Raymond-Nagoya;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0238&from=EN;
1972;IV/26.844 - Wild - Leitz;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0128&from=EN;
1972;IV/26612 - MAN/SAVIEM;http://eur-lex.europa.eu/legal-content/DE/TXT/PDF/?uri=CELEX:31972D0088&from=EN;
1973;IV/795 - Kali und Salz/Kali Chemie;http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31974D0017&from=EN;
1973;IV/223 - Transocean Marine Paint Association;http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31974D0016&from=EN;
